Bus Body,Date,Packet,Slot,Latitude,Longitude,Place
ABP17,2020-03-17,5,1,0.0,0.0,Soul Buoy
ABP17,2020-03-17,5,2,0.0,0.0,Soul Buoy
ABP17,2020-03-17,5,3,0.0,0.0,Soul Buoy
ABP17,2020-03-17,5,4,0.0,0.0,Soul Buoy
ABP17,2020-03-17,5,5,23.044921,72.542726,"Helmet Cross Roads Bus Station, 132 Ft. Ring Road, Gurukul, Memnagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380052, India"
ABP17,2020-03-17,5,6,23.023592,72.57931500000001,"Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,6,1,23.024678,72.579047,"Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,6,2,23.035762,72.562955,"Commerce College Road, Usmanpura, Navrangpura, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380009, India"
ABP17,2020-03-17,6,3,23.049838,72.517358,"Thaltej Cross Roads, Thaltej, Daskroi Taluka, Ahmedabad District, Gujarat, India"
ABP17,2020-03-17,6,4,23.042981,72.48983,"Thaltej, Bhadaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380059, India"
ABP17,2020-03-17,6,5,23.052345000000003,72.4734,"Shilaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380058, India"
ABP17,2020-03-17,6,6,23.054104000000002,72.471636,"Ranchhod pura, Kalol Taluka, Gandhinagar District, Gujarat, 380058, India"
ABP17,2020-03-17,7,1,23.042197,72.489772,"Thaltej, Bhadaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380059, India"
ABP17,2020-03-17,7,2,23.049136999999998,72.52146,"Drive-in Road, Gurukul, Memnagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,7,3,23.031038,72.569138,"Kochrab, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380043, India"
ABP17,2020-03-17,7,4,23.024722,72.57896,"Lal Darwaja AMTS Bus Stop, Ellisbridge, Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,7,5,23.02471,72.57899499999999,"Lal Darwaja AMTS Bus Stop, Ellisbridge, Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,7,6,23.024756,72.57899300000001,"Lal Darwaja AMTS Bus Stop, Ellisbridge, Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,8,1,23.024563,72.578997,"Lal Darwaja AMTS Bus Stop, Ellisbridge, Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,8,2,23.035564,72.563313,"Commerce College Road, Usmanpura, Navrangpura, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380009, India"
ABP17,2020-03-17,8,3,23.046176000000003,72.529912,"Drive-in Road, Gurukul, Memnagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,8,4,23.050147,72.50707299999999,"Thaltej Road, Thaltej, Bhadaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380054, India"
ABP17,2020-03-17,8,5,23.052554999999998,72.472767,"Shilaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380058, India"
ABP17,2020-03-17,8,6,23.054064999999998,72.471398,"Shilaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380058, India"
ABP17,2020-03-17,9,1,23.054088,72.47143,"Ranchhod pura, Kalol Taluka, Gandhinagar District, Gujarat, 380058, India"
ABP17,2020-03-17,9,2,23.05094,72.493441,"Thaltej Road, Thaltej, Bhadaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380054, India"
ABP17,2020-03-17,9,3,23.05857,72.519463,"Thaltej, Bhadaj, Daskroi Taluka, Ahmedabad District, Gujarat, 380059, India"
ABP17,2020-03-17,9,4,23.044663,72.54540899999999,"Gurukul, Memnagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,9,5,23.030012,72.570492,"Ashram Road, Paldi, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,9,6,0.0,0.0,Soul Buoy
ABP17,2020-03-17,10,1,0.0,0.0,Soul Buoy
ABP17,2020-03-17,10,2,0.0,0.0,Soul Buoy
ABP17,2020-03-17,10,3,0.0,0.0,Soul Buoy
ABP17,2020-03-17,10,4,23.024684,72.579006,"Lal Darwaja AMTS Bus Stop, Ellisbridge, Gita Mandir, Dhalgarvad -khadia, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
ABP17,2020-03-17,10,5,23.030935,72.564255,"Kochrab, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380043, India"
ABP17,2020-03-17,10,6,23.045655,72.539563,"Drive-in Road, Gurukul, Memnagar, Ahmedabad, Ahmadabad City Taluka, Ahmedabad District, Gujarat, 380001, India"
